app,appname,vlink,slink,net,flit-width,link-prop,fifo-depth,psim-q,row,col,proute-q,StatHopsScal,StatHopsVec,DynHopsScal,DynHopsVec,pcu_total_active,pmu_total_active,dag_total_active,router_flit_energy,router_flit_energy_scalar,vswitch_flit_energy,sswitch_flit_energy,total_router_energy,total_vswitch_energy,total_sswitch_energy,total_net_energy,pcu_unit_energy,pmu_unit_energy,dag_unit_energy,total_pcu_energy,total_pmu_energy,total_dag_energy,total_energy,total_router_power,total_vswitch_power,total_sswitch_power,total_net_power,total_pcu_power,total_pmu_power,total_dag_power,total_power,proute-algo
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,2,4,static,512,cd,4,1,16,8,1,328426,30605312,0,0,3211264,589888,48,0,0,4.6126666666666655e-12,2.0623000000000002e-13,0,0.0001411721024853333,6.773129398000001e-08,0.00014123983377931329,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0007193231360000001,0.000177151329888,1.5077328000000002e-09,0.0010377158074001134,0.0,0.05239426476926317,2.513762483860157e-05,0.05241940239410176,0.26696780864446107,0.06574750619261518,5.595762203280188e-07,0.38513527680739834,
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,3,4,static,512,cd,4,1,16,8,1,328426,31588352,0,0,3211264,589888,48,0,0,6.946375e-12,2.0623000000000002e-13,0,0.000219424538624,6.773129398000001e-08,0.00021949226991797998,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0007193231360000001,0.000177151329888,1.5077328000000002e-09,0.00111596824353878,0.0,0.08143668027281578,2.513762483860157e-05,0.08146181789765437,0.26696780864446107,0.06574750619261518,5.595762203280188e-07,0.414177692310951,
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,1,4,dynamic,512,db,4,1,16,8,1,393706,17367038,6,2686976,3211264,589856,80,1.4558871941182926e-11,9.027213870295184e-12,5.6443750000000006e-12,3.8818e-13,3.9119393656315156e-05,9.802607511125001e-05,1.5282879508e-07,0.00013729829756264515,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0007193231360000001,0.000177141719856,2.5128880000000006e-09,0.0010337656663066451,0.024396649809298534,0.06113356070085952,9.531105280160453e-05,0.08562552156295963,0.4486029308863132,0.11047370886961683,1.5671523205240625e-06,0.64470372847121,route_min_directed_valient
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,1,4,dynamic,256,db,4,1,16,8,1,393706,17367038,6,2686976,3211264,589856,80,7.947437726325031e-12,5.332492044332273e-12,5.6443750000000006e-12,3.8818e-13,2.1354606427082195e-05,9.802607511125001e-05,1.5282879508e-07,0.00011953351033341222,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0007193231360000001,0.000177141719856,2.5128880000000006e-09,0.0010160008790774122,0.013317712932721201,0.06113356070085952,9.531105280160453e-05,0.07454658468638233,0.4486029308863132,0.11047370886961683,1.5671523205240625e-06,0.6336247915946328,route_min_directed_valient
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,0,4,dynamic,512,db,4,1,16,8,1,196981,0,0,17170432,0,0,0,1.8487553828379373e-11,9.658124146623257e-12,0,3.8818e-13,0.0003174392858565277,0,7.646408458e-08,0.00031751574994110773,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,0.00031751574994110773,0.28406022141832465,0.0,6.842380815511671e-05,0.2841286452264798,0.0,0.0,0.0,0.2841286452264798,route_min_directed_valient
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,2,4,dynamic,512,db,4,1,16,8,1,262387,19922940,0,0,3211264,589856,80,1.4558871941182926e-11,9.027213870295184e-12,7.2535833333333315e-12,3.8818e-13,0.0,0.00014451270553499996,1.0185338566e-07,0.00014461455892065997,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0007193231360000001,0.000177141719856,2.5128880000000006e-09,0.0010410819276646598,0.0,0.1159080016289858,8.169262589951138e-05,0.11598969425488533,0.5769410164358336,0.14207846069740804,2.0154894015662652e-06,0.8350111868775283,route_min_directed_valient
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,0,0,dynamic,512,db,4,1,16,8,1,0,0,131559,16711683,3211264,589856,80,2.6865770445055515e-11,1.1493532946328547e-11,0,0,0.0004504843169294227,0,0,0.0004504843169294227,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0007193231360000001,0.000177141719856,2.5128880000000006e-09,0.0013469516856734226,0.14571018704257302,0.0,0.0,0.14571018704257302,0.23266672057538287,0.057296896169871964,8.127993955323477e-07,0.43567461658722334,route_min_directed_valient
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,1,4,dynamic,512,db,4,4,16,8,1,393706,17367038,6,2686976,0,0,0,0,0,5.6443750000000006e-12,3.8818e-13,0,9.802607511125001e-05,1.5282879508e-07,9.817890390633001e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,9.817890390633001e-05,0.0,0.06113356070085952,9.531105280160453e-05,0.061228871753661124,0.0,0.0,0.0,0.061228871753661124,route_min_directed_valient
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,1,4,dynamic,512,db,4,8,16,8,1,393706,17367038,6,2686976,0,0,0,0,0,5.6443750000000006e-12,3.8818e-13,0,9.802607511125001e-05,1.5282879508e-07,9.817890390633001e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,9.817890390633001e-05,0.0,0.06113356070085952,9.531105280160453e-05,0.061228871753661124,0.0,0.0,0.0,0.061228871753661124,route_min_directed_valient
BlackScholes__N_1048576_ts_65536_op_1,BlackScholes,1,4,dynamic,512,db,4,16,16,8,1,393706,17367038,6,2686976,0,0,0,0,0,5.6443750000000006e-12,3.8818e-13,0,9.802607511125001e-05,1.5282879508e-07,9.817890390633001e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,9.817890390633001e-05,0.0,0.06113356070085952,9.531105280160453e-05,0.061228871753661124,0.0,0.0,0.0,0.061228871753661124,route_min_directed_valient
SPMV_ELL__L_64_N_16384_ts_1024_op_1_mp_2,SPMV,0,0,p2p,512,db,20,1,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SPMV_ELL__L_64_N_16384_ts_1024_op_1_mp_2,SPMV,0,0,p2p,512,db,4,1,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SPMV_ELL__L_64_N_16384_ts_1024_op_1_mp_2,SPMV,3,4,static,512,db,4,1,16,8,1,748656,2268160,0,0,311296,401408,17424,0,0,9.724999999999999e-12,3.8818e-13,0,2.2057855999999997e-05,2.9061328608000003e-07,2.2348469286079997e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,6.9730304e-05,0.000120548241408,5.473070064000001e-07,0.00021317432170048,0.0,0.07994207079511312,0.0010532405275384801,0.0809953113226516,0.2527165332357216,0.4368908768315798,0.00198354978164198,0.7725862711715951,
