x1873,ALMs,IP,OP,Valid,Timestamp,B,Cycles
true,1228356.0,27,2,false,4055,11136,1261721.0
true,886602.0,19,2,false,4055,10944,1411295.0
true,502485.0,10,2,false,4055,16224,2397923.0
true,1186800.0,26,2,false,4055,11136,1275192.0
true,290626.0,10,1,false,4055,6912,3723174.0
true,1103111.0,24,2,false,4055,10944,1305722.0
false,3360796.0,81,2,false,4055,18816,1201697.0
true,928095.0,20,2,false,4055,11328,1391784.0
false,3440250.0,83,2,false,4055,19008,1187314.0
false,3281231.0,79,2,false,4055,18816,1211805.0
true,1053100.0,23,2,false,4055,13152,1346412.0
true,1144734.0,25,2,false,4055,10944,1289726.0
true,108100.0,1,2,false,4055,15264,6020785.0
true,420404.0,16,1,false,4055,9120,2858473.0
false,3479972.0,84,2,false,4055,18912,1186741.0
true,334748.0,12,1,false,4055,7104,3383631.0
true,970193.0,21,2,false,4055,11328,1367915.0
false,3440250.0,83,2,false,4055,18816,1191589.0
true,290626.0,10,1,false,4055,5760,3895089.0
false,3718291.0,90,2,false,4055,19008,1152861.0
true,483518.0,19,1,false,4055,9792,2574084.0
true,803569.0,17,2,false,4055,8928,1460828.0
true,462532.0,18,1,false,4055,9312,2656979.0
true,1186800.0,26,2,false,4055,10944,1275558.0
true,1019779.0,22,2,false,4055,9792,1343358.0
true,928095.0,20,2,false,4055,11232,1388431.0
true,268132.0,9,1,false,2893,8064,3912810.0
false,3638894.0,88,2,false,2893,19104,1162527.0
true,487012.0,19,1,false,2893,8544,2567368.0
true,1269885.0,28,2,false,2893,14208,1266413.0
true,978068.0,21,2,false,2893,8640,1380801.0
true,1186800.0,26,2,false,2893,9984,1280940.0
true,312913.0,11,1,false,2893,6624,3577342.0
true,1436148.0,32,2,false,2893,14304,1215056.0
true,444431.0,17,1,false,2893,8256,2749013.0
true,420404.0,16,1,false,2893,9312,2866475.0
true,312913.0,11,1,false,2893,6912,3553810.0
true,312913.0,11,1,false,2893,8352,3540384.0
true,1061460.0,23,2,false,2893,8640,1348374.0
true,222059.0,7,1,true,2893,7392,4373708.0
true,245296.0,8,1,true,2893,6624,4137413.0
true,803569.0,17,2,false,2893,11136,1472764.0
true,107443.0,1,2,false,2893,17952,6019199.0
false,3797744.0,92,2,false,2893,19104,1142877.0
true,334748.0,12,1,false,2893,6624,3427899.0
true,1103111.0,24,2,false,2893,10464,1305633.0
true,506646.0,10,2,false,2893,13248,2099794.0
false,3599190.0,87,2,false,2893,19104,1167243.0
true,334748.0,12,1,false,2893,6912,3400373.0
true,893993.0,19,2,false,2893,8832,1414267.0
false,3519689.0,85,2,false,2893,19104,1177461.0
true,893993.0,19,2,false,2894,9504,1405567.0
true,423045.0,16,1,false,2894,7872,2857860.0
true,222213.0,7,1,true,2894,6624,4389654.0
true,1436148.0,32,2,false,2894,13920,1214125.0
true,1186800.0,26,2,false,2894,11040,1275242.0
true,487012.0,19,1,false,2894,8064,2580564.0
false,76756.0,1,1,true,2894,2976,33004868.0
true,803569.0,17,2,false,2894,9504,1456066.0
true,198929.0,6,1,true,2894,9024,5062273.0
false,3360796.0,81,2,false,2894,19008,1197308.0
true,506646.0,10,2,false,2894,12768,2059277.0
false,3440250.0,83,2,false,2894,19200,1186964.0
true,978068.0,21,2,false,2894,9408,1365720.0
false,3360796.0,81,2,false,2894,18912,1201581.0
true,1269885.0,28,2,false,2894,13440,1258486.0
true,465750.0,18,1,false,2894,8064,2663668.0
true,719811.0,15,2,false,2894,8928,1519631.0
true,1436148.0,32,2,false,2894,13632,1210687.0
true,719811.0,15,2,false,2894,9312,1518266.0
true,487012.0,19,1,false,2894,8736,2566171.0
true,893993.0,19,2,false,2894,6912,1524305.0
true,107895.0,1,2,false,2894,16320,6023172.0
true,510720.0,10,2,false,2894,10176,1896471.0
true,444431.0,17,1,false,2894,8544,2746432.0
true,1019779.0,22,2,false,2894,9504,1345073.0
false,3837429.0,93,2,false,2894,19104,1138423.0
false,76736.0,1,1,true,2894,2496,33348581.0
true,1019779.0,22,2,false,2894,8640,1364008.0
true,290626.0,10,1,false,2894,7872,3703985.0
false,3758055.0,91,2,false,2894,19200,1147553.0
true,594901.0,12,2,false,2894,8832,1632757.0
true,77568.0,1,1,true,2894,5568,11678197.0
false,3320967.0,80,2,false,2894,19200,1201841.0
true,268132.0,9,1,false,2895,8352,3929583.0
false,3877111.0,94,2,false,2895,19200,1133198.0
true,636580.0,13,2,false,2895,9312,1591841.0
true,636580.0,13,2,false,2895,8928,1590756.0
true,487012.0,19,1,false,2895,8640,2565967.0
true,970193.0,21,2,false,2895,11424,1368243.0
false,4055236.0,92,2,false,2895,19200,6204950.0
false,3400525.0,82,2,false,2895,19008,1192311.0
true,928095.0,20,2,false,2895,11136,1387448.0
false,3678594.0,89,2,false,2895,19200,1157210.0
true,356329.0,13,1,false,2895,7872,11533347.0
true,506646.0,10,2,false,2895,13920,2160255.0
true,334748.0,12,1,false,2895,7008,3392542.0
false,3360796.0,81,2,false,2895,19200,1197143.0
true,1019779.0,22,2,false,2895,9984,1341565.0
true,510720.0,10,2,false,2895,9120,1859109.0
true,1144734.0,25,2,false,2895,10464,1290815.0
true,1144734.0,25,2,false,2895,9984,1293968.0
true,762023.0,16,2,false,2895,8832,1490115.0
true,1436148.0,32,2,false,2895,13536,1211664.0
false,3718291.0,90,2,false,2895,19200,1152512.0
true,1144734.0,25,2,false,2895,11040,1289739.0
true,487012.0,19,1,false,2895,9120,2563556.0
true,423045.0,16,1,false,2895,8064,2853445.0
false,3678594.0,89,2,false,2895,19104,1157549.0
true,398980.0,15,1,false,2895,7872,2965844.0
true,222059.0,7,1,true,2895,7872,4392809.0
true,175539.0,5,1,true,2895,6144,7466554.0
true,1228356.0,27,2,false,2895,11040,1262104.0
true,1061460.0,23,2,false,2895,10464,1322364.0
true,553158.0,11,2,false,2895,8928,3777002.0
true,1269885.0,28,2,false,2895,11136,1249148.0
true,222059.0,7,1,true,2895,7584,32494677.0
true,77632.0,1,1,true,2895,6624,11621573.0
true,312913.0,11,1,false,2895,8064,3530723.0
true,290626.0,10,1,false,2895,8064,3711838.0
true,508231.0,20,1,false,2895,9120,2482428.0
true,312913.0,11,1,false,2895,7872,3524841.0
true,978068.0,21,2,false,2895,8832,1374645.0
false,3519689.0,85,2,false,2895,19200,1177046.0
true,1352868.0,30,2,false,2895,15264,1248496.0
true,1186800.0,26,2,false,2895,11328,1276857.0
true,1061460.0,23,2,false,1768,9216,1334315.0
false,76756.0,1,1,true,1768,2688,33197886.0
true,487012.0,19,1,false,1768,6624,2709405.0
true,978068.0,21,2,false,1768,9024,1370341.0
true,1352868.0,30,2,false,1768,15168,1247215.0
false,3281231.0,79,2,false,1768,19104,1207329.0
true,102339.0,2,1,true,1768,2880,11976056.0
true,636580.0,13,2,false,1768,9600,1594827.0
true,487012.0,19,1,false,1768,7392,2622111.0
true,155748.0,2,2,false,1768,17760,6001186.0
true,398980.0,15,1,false,1768,10944,3103671.0
true,398980.0,15,1,false,1768,10752,3085560.0
true,444431.0,17,1,false,1768,7296,2792896.0
true,1311389.0,29,2,false,1768,14304,1253559.0
true,1352868.0,30,2,false,1768,13344,1232231.0
true,1019779.0,22,2,false,1768,11040,1342743.0
false,3678594.0,89,2,false,1768,18240,1169963.0
true,1103111.0,24,2,false,1768,11040,1306048.0
true,420404.0,16,1,false,1768,10944,2964696.0
true,444431.0,17,1,false,1769,7392,2787224.0
true,158133.0,2,2,false,1769,5664,6096780.0
true,267528.0,9,1,false,1769,9984,7715011.0
false,3877111.0,94,2,false,1769,19104,1133445.0
false,3479972.0,84,2,false,1769,19104,1182439.0
true,222059.0,7,1,true,1769,8448,4445507.0
true,420404.0,16,1,false,1769,9600,2879370.0
true,198929.0,6,1,true,1769,8544,4987107.0
true,356329.0,13,1,false,1769,9024,3249495.0
true,1019779.0,22,2,false,1769,9024,1353167.0
false,3440250.0,83,2,false,1769,19104,1187155.0
true,420404.0,16,1,false,1769,8736,2852510.0
true,1311389.0,29,2,false,1769,14208,1251275.0
false,3241485.0,78,2,false,1769,19008,1212299.0
true,441497.0,17,1,false,1769,10560,2812403.0
true,377723.0,14,1,false,1769,10752,3235343.0
true,1177950.0,26,2,false,1769,14016,1299393.0
true,441497.0,17,1,false,1769,10752,2824144.0
true,1311389.0,29,2,false,1769,14016,1250123.0
true,420404.0,16,1,false,1769,10752,2948804.0
true,398980.0,15,1,false,1769,10272,3048141.0
true,1436148.0,32,2,false,1769,11040,1210912.0
true,510720.0,10,2,false,1769,9888,1883774.0
true,420404.0,16,1,false,1769,8544,2849424.0
true,935780.0,20,2,false,1769,8352,1408875.0
false,3400525.0,82,2,false,1769,19104,1192133.0
false,3916790.0,95,2,false,1769,18816,1133335.0
true,1061460.0,23,2,false,1769,9600,1327537.0
true,1260724.0,28,2,false,1769,14400,1271051.0
true,1053100.0,23,2,false,1769,13440,1351864.0
false,76756.0,1,1,true,1769,2880,33066095.0
true,1061460.0,23,2,false,1769,11520,1325814.0
true,155439.0,2,2,false,1769,19104,5995254.0
true,719811.0,15,2,false,1769,9408,1519478.0
false,3320967.0,80,2,false,1769,19104,1202089.0
true,465750.0,18,1,false,1769,7296,2706561.0
true,1011653.0,22,2,false,1769,13344,1375489.0
true,268132.0,9,1,false,1769,9024,3992172.0
true,198929.0,6,1,true,1769,7872,4910073.0
false,3281231.0,79,2,false,1769,19008,1207302.0
true,1019779.0,22,2,false,1769,9696,1343643.0
true,483518.0,19,1,false,1769,10368,2594697.0
true,276085.0,6,1,false,1769,7296,4873661.0
true,1343452.0,30,2,false,1769,15552,1251716.0
true,483518.0,19,1,false,1769,10272,2591187.0
true,377723.0,14,1,false,1769,10560,3216909.0
true,465750.0,18,1,false,1769,7392,2700607.0
true,1352868.0,30,2,false,1769,14304,1239558.0
true,222059.0,7,1,true,1769,8640,4464402.0
true,1103111.0,24,2,false,1770,9312,1316879.0
true,462532.0,18,1,false,1770,10464,2698116.0
