link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30]
10470,10376,10374,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11010,10376,10374,2,172,11700,11838,11978,12116,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
11011,10376,10374,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10569,10474,10472,2,172,11700,11838,11978,12116,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
10568,10474,10472,2,1376,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012,10474,10472,2,172,11700,11838,11977,12116,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
11013,10474,10472,2,1376,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10667,10572,10570,2,172,11700,11839,11977,12117,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
10666,10572,10570,2,1376,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11014,10572,10570,2,172,11700,11839,11977,12117,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
11015,10572,10570,2,1376,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10765,10670,10668,2,172,11700,11839,11977,12117,12256,,,,,,,,,,,,,,,,,,,,,,,,,,
10764,10670,10668,2,1376,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429,11016,11397,2,176128,1237,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11411,11017,11398,2,176128,11397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11417,11018,11399,2,176128,11398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11418,11018,11399,2,176128,11398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11424,11019,11400,2,176128,11398,11399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11425,11019,11400,2,176128,11399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
