link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
18257,17877,18243,2,44032,18242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18261,17878,18244,2,44032,18242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18265,17879,18245,2,44032,18244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18269,17880,18246,2,44032,18244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18273,17881,18247,2,44032,18242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18274,17881,18247,2,44032,18242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18275,17881,18247,2,44032,18244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18278,17882,18248,2,44032,18245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18279,17882,18248,2,44032,18247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18284,17883,18249,2,44032,18247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18285,17883,18249,2,44032,18247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18286,17883,18249,2,44032,18246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18287,17883,18249,2,44032,18243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5792,18288,18648,2,44032,9215,9331,9447,9563,9679,9795,9911,10027,,,,,,,,,,,,,,,,,,,,,,
5791,18288,18648,2,44032,9215,9331,9447,9563,9679,9795,9911,10027,,,,,,,,,,,,,,,,,,,,,,
18662,18289,18649,2,44032,18648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18666,18290,18650,2,44032,18649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18670,18291,18651,2,44032,18649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18675,18292,18652,2,44032,18651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18676,18292,18652,2,44032,18648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18677,18292,18652,2,44032,18648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18678,18292,18652,2,44032,18649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18681,18293,18653,2,44032,18652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18682,18293,18653,2,44032,18650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18687,18294,18654,2,44032,18652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18688,18294,18654,2,44032,18648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5824,18689,19049,2,44032,10393,10509,10625,10741,10857,10973,11089,11205,,,,,,,,,,,,,,,,,,,,,,
5823,18689,19049,2,44032,10393,10509,10625,10741,10857,10973,11089,11205,,,,,,,,,,,,,,,,,,,,,,
19063,18690,19050,2,44032,19049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19067,18691,19051,2,44032,19050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19071,18692,19052,2,44032,19050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
