link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17]
10335,9692,10300,2,22528,10299,,,,,,,,,,,,,,,,,
4855,9693,10301,2,22528,12672,,,,,,,,,,,,,,,,,
4852,9693,10301,2,22528,12670,,,,,,,,,,,,,,,,,
10338,9693,10301,2,22528,10299,10300,,,,,,,,,,,,,,,,
10339,9693,10301,2,22528,10299,10300,,,,,,,,,,,,,,,,
10343,9694,10302,2,22528,10301,,,,,,,,,,,,,,,,,
10346,9695,10303,2,22528,10302,,,,,,,,,,,,,,,,,
10350,9696,10304,2,22528,10302,,,,,,,,,,,,,,,,,
10354,9697,10305,2,22528,10304,,,,,,,,,,,,,,,,,
10355,9697,10305,2,22528,10304,,,,,,,,,,,,,,,,,
10359,9698,10306,2,22528,10303,10305,,,,,,,,,,,,,,,,
10363,9699,10307,2,22528,10305,,,,,,,,,,,,,,,,,
10367,9700,10308,2,22528,10301,,,,,,,,,,,,,,,,,
10371,9701,10309,2,22528,10308,,,,,,,,,,,,,,,,,
10375,9702,10310,2,22528,10309,,,,,,,,,,,,,,,,,
10376,9702,10310,2,22528,10309,,,,,,,,,,,,,,,,,
10381,9703,10311,2,22528,10310,,,,,,,,,,,,,,,,,
10382,9703,10311,2,22528,10310,,,,,,,,,,,,,,,,,
10387,9704,10312,2,22528,10303,,,,,,,,,,,,,,,,,
10388,9704,10312,2,22528,10308,,,,,,,,,,,,,,,,,
10393,9705,10313,2,22528,10306,10312,,,,,,,,,,,,,,,,
10394,9705,10313,2,22528,10306,10312,,,,,,,,,,,,,,,,
10398,9706,10314,2,22528,10306,10312,10313,,,,,,,,,,,,,,,
10402,9707,10315,2,22528,10311,10312,,,,,,,,,,,,,,,,
10407,9708,10316,2,22528,10311,10315,,,,,,,,,,,,,,,,
10408,9708,10316,2,22528,10311,10315,,,,,,,,,,,,,,,,
10413,9709,10317,2,22528,10313,10316,,,,,,,,,,,,,,,,
10414,9709,10317,2,22528,10313,10316,,,,,,,,,,,,,,,,
10417,9710,10318,2,22528,10307,10317,,,,,,,,,,,,,,,,
10418,9710,10318,2,22528,10307,10317,,,,,,,,,,,,,,,,
10422,9711,10319,2,22528,10307,10317,10318,,,,,,,,,,,,,,,
10426,9712,10320,2,22528,10313,10316,10317,,,,,,,,,,,,,,,
10429,9713,10321,2,22528,10311,10315,10316,,,,,,,,,,,,,,,
10430,9713,10321,2,22528,10314,,,,,,,,,,,,,,,,,
10435,9714,10322,2,22528,10320,,,,,,,,,,,,,,,,,
10436,9714,10322,2,22528,10320,,,,,,,,,,,,,,,,,
10437,9714,10322,2,22528,10314,10321,,,,,,,,,,,,,,,,
10442,9715,10323,2,22528,10320,10322,,,,,,,,,,,,,,,,
10443,9715,10323,2,22528,10319,,,,,,,,,,,,,,,,,
10444,9715,10323,2,22528,10314,10321,,,,,,,,,,,,,,,,
10445,9715,10323,2,22528,10319,,,,,,,,,,,,,,,,,
10450,9716,10324,2,22528,10323,,,,,,,,,,,,,,,,,
10451,9716,10324,2,22528,10323,,,,,,,,,,,,,,,,,
10455,9717,10325,2,22528,10323,10324,,,,,,,,,,,,,,,,
10459,9718,10326,2,22528,10319,10323,,,,,,,,,,,,,,,,
10463,9719,10327,2,22528,10325,,,,,,,,,,,,,,,,,
10464,9719,10327,2,22528,10322,10326,,,,,,,,,,,,,,,,
10465,9719,10327,2,22528,10325,,,,,,,,,,,,,,,,,
10466,9719,10327,2,22528,10322,10326,,,,,,,,,,,,,,,,
10471,9720,10328,2,22528,10322,10326,10327,,,,,,,,,,,,,,,
10472,9720,10328,2,22528,10325,10327,,,,,,,,,,,,,,,,
10474,9721,10329,2,22528,10324,10328,,,,,,,,,,,,,,,,
10475,9721,10329,2,22528,10324,10328,,,,,,,,,,,,,,,,
10476,9721,10329,2,22528,10324,10328,,,,,,,,,,,,,,,,
4867,10477,11080,2,22528,12208,,,,,,,,,,,,,,,,,
4869,10477,11080,2,22528,12209,,,,,,,,,,,,,,,,,
4874,10477,11080,2,22528,12441,,,,,,,,,,,,,,,,,
4868,10477,11080,2,22528,12206,,,,,,,,,,,,,,,,,
4875,10478,11081,2,22528,12439,,,,,,,,,,,,,,,,,
4872,10478,11081,2,22528,12673,,,,,,,,,,,,,,,,,
4873,10478,11081,2,22528,12437,,,,,,,,,,,,,,,,,
11115,10478,11081,2,22528,11080,,,,,,,,,,,,,,,,,
4871,10479,11082,2,22528,12671,,,,,,,,,,,,,,,,,
4870,10479,11082,2,22528,12669,,,,,,,,,,,,,,,,,
11118,10479,11082,2,22528,11080,11081,,,,,,,,,,,,,,,,
11119,10479,11082,2,22528,11080,11081,,,,,,,,,,,,,,,,
11123,10480,11083,2,22528,11082,,,,,,,,,,,,,,,,,
11126,10481,11084,2,22528,11083,,,,,,,,,,,,,,,,,
11130,10482,11085,2,22528,11083,,,,,,,,,,,,,,,,,
11134,10483,11086,2,22528,11085,,,,,,,,,,,,,,,,,
11135,10483,11086,2,22528,11085,,,,,,,,,,,,,,,,,
11139,10484,11087,2,22528,11086,,,,,,,,,,,,,,,,,
11143,10485,11088,2,22528,11084,11086,,,,,,,,,,,,,,,,
11147,10486,11089,2,22528,11082,,,,,,,,,,,,,,,,,
11152,10487,11090,2,22528,11084,,,,,,,,,,,,,,,,,
11153,10487,11090,2,22528,11089,,,,,,,,,,,,,,,,,
11158,10488,11091,2,22528,11088,11090,,,,,,,,,,,,,,,,
11159,10488,11091,2,22528,11088,11090,,,,,,,,,,,,,,,,
11163,10489,11092,2,22528,11088,11090,11091,,,,,,,,,,,,,,,
11167,10490,11093,2,22528,11089,,,,,,,,,,,,,,,,,
11171,10491,11094,2,22528,11093,,,,,,,,,,,,,,,,,
11175,10492,11095,2,22528,11093,,,,,,,,,,,,,,,,,
11176,10492,11095,2,22528,11090,11094,,,,,,,,,,,,,,,,
11177,10492,11095,2,22528,11094,,,,,,,,,,,,,,,,,
11182,10493,11096,2,22528,11095,,,,,,,,,,,,,,,,,
11183,10493,11096,2,22528,11095,,,,,,,,,,,,,,,,,
11188,10494,11097,2,22528,11091,11096,,,,,,,,,,,,,,,,
11189,10494,11097,2,22528,11091,11096,,,,,,,,,,,,,,,,
11194,10495,11098,2,22528,11087,,,,,,,,,,,,,,,,,
11195,10495,11098,2,22528,11091,11096,11097,,,,,,,,,,,,,,,
11196,10495,11098,2,22528,11087,,,,,,,,,,,,,,,,,
11197,10495,11098,2,22528,11087,,,,,,,,,,,,,,,,,
11200,10496,11099,2,22528,11092,,,,,,,,,,,,,,,,,
11201,10496,11099,2,22528,11095,11096,,,,,,,,,,,,,,,,
11206,10497,11100,2,22528,11098,,,,,,,,,,,,,,,,,
11207,10497,11100,2,22528,11098,,,,,,,,,,,,,,,,,
11208,10497,11100,2,22528,11092,11099,,,,,,,,,,,,,,,,
11212,10498,11101,2,22528,11098,11100,,,,,,,,,,,,,,,,
11216,10499,11102,2,22528,11092,11099,,,,,,,,,,,,,,,,
11221,10500,11103,2,22528,11097,11102,,,,,,,,,,,,,,,,
11222,10500,11103,2,22528,11097,11102,,,,,,,,,,,,,,,,
11227,10501,11104,2,22528,11100,11103,,,,,,,,,,,,,,,,
11228,10501,11104,2,22528,11100,11103,,,,,,,,,,,,,,,,
11232,10502,11105,2,22528,11100,11103,11104,,,,,,,,,,,,,,,
11236,10503,11106,2,22528,11097,11102,11103,,,,,,,,,,,,,,,
11240,10504,11107,2,22528,11104,,,,,,,,,,,,,,,,,
11241,10504,11107,2,22528,11101,11106,,,,,,,,,,,,,,,,
11242,10504,11107,2,22528,11101,11106,,,,,,,,,,,,,,,,
11243,10504,11107,2,22528,11104,,,,,,,,,,,,,,,,,
11248,10505,11108,2,22528,11104,11107,,,,,,,,,,,,,,,,
11249,10505,11108,2,22528,11101,11106,11107,,,,,,,,,,,,,,,
11251,10506,11109,2,22528,11105,11108,,,,,,,,,,,,,,,,
11252,10506,11109,2,22528,11105,11108,,,,,,,,,,,,,,,,
11253,10506,11109,2,22528,11105,11108,,,,,,,,,,,,,,,,
4922,11254,11466,2,22528,1195,,,,,,,,,,,,,,,,,
4923,11254,11466,2,22528,1195,,,,,,,,,,,,,,,,,
11478,11255,11467,2,22528,11466,,,,,,,,,,,,,,,,,
11482,11256,11468,2,22528,11467,,,,,,,,,,,,,,,,,
11486,11257,11469,2,22528,11468,,,,,,,,,,,,,,,,,
11490,11258,11470,2,22528,11468,,,,,,,,,,,,,,,,,
11493,11259,11471,2,22528,11467,,,,,,,,,,,,,,,,,
11494,11259,11471,2,22528,11466,,,,,,,,,,,,,,,,,
11499,11260,11472,2,22528,11468,,,,,,,,,,,,,,,,,
11500,11260,11472,2,22528,11470,,,,,,,,,,,,,,,,,
11501,11260,11472,2,22528,11471,,,,,,,,,,,,,,,,,
11502,11260,11472,2,22528,11469,,,,,,,,,,,,,,,,,
4950,11503,11715,2,22528,1238,,,,,,,,,,,,,,,,,
4949,11503,11715,2,22528,1238,,,,,,,,,,,,,,,,,
11727,11504,11716,2,22528,11715,,,,,,,,,,,,,,,,,
11731,11505,11717,2,22528,11716,,,,,,,,,,,,,,,,,
11735,11506,11718,2,22528,11717,,,,,,,,,,,,,,,,,
11739,11507,11719,2,22528,11717,,,,,,,,,,,,,,,,,
11742,11508,11720,2,22528,11715,,,,,,,,,,,,,,,,,
11743,11508,11720,2,22528,11716,,,,,,,,,,,,,,,,,
11748,11509,11721,2,22528,11717,,,,,,,,,,,,,,,,,
11749,11509,11721,2,22528,11720,,,,,,,,,,,,,,,,,
11750,11509,11721,2,22528,11718,,,,,,,,,,,,,,,,,
11751,11509,11721,2,22528,11719,,,,,,,,,,,,,,,,,
4976,11752,11964,2,22528,1281,,,,,,,,,,,,,,,,,
4977,11752,11964,2,22528,1281,,,,,,,,,,,,,,,,,
11976,11753,11965,2,22528,11964,,,,,,,,,,,,,,,,,
11980,11754,11966,2,22528,11965,,,,,,,,,,,,,,,,,
11984,11755,11967,2,22528,11966,,,,,,,,,,,,,,,,,
11988,11756,11968,2,22528,11966,,,,,,,,,,,,,,,,,
11991,11757,11969,2,22528,11964,,,,,,,,,,,,,,,,,
11992,11757,11969,2,22528,11965,,,,,,,,,,,,,,,,,
11997,11758,11970,2,22528,11968,,,,,,,,,,,,,,,,,
11998,11758,11970,2,22528,11967,,,,,,,,,,,,,,,,,
11999,11758,11970,2,22528,11966,,,,,,,,,,,,,,,,,
12000,11758,11970,2,22528,11969,,,,,,,,,,,,,,,,,
5002,12001,12204,2,22528,8369,8448,,,,,,,,,,,,,,,,
5003,12001,12204,2,22528,8369,8448,,,,,,,,,,,,,,,,
12215,12002,12205,2,22528,12204,,,,,,,,,,,,,,,,,
12219,12003,12206,2,22528,12205,,,,,,,,,,,,,,,,,
5004,12004,12207,2,22528,8369,8448,,,,,,,,,,,,,,,,
12226,12005,12208,2,22528,12207,,,,,,,,,,,,,,,,,
12230,12006,12209,2,22528,12206,12208,,,,,,,,,,,,,,,,
12231,12006,12209,2,22528,12205,12207,,,,,,,,,,,,,,,,
12232,12006,12209,2,22528,12204,,,,,,,,,,,,,,,,,
5014,12233,12436,2,22528,8573,8652,,,,,,,,,,,,,,,,
5016,12233,12436,2,22528,8573,8652,,,,,,,,,,,,,,,,
12447,12234,12437,2,22528,12436,,,,,,,,,,,,,,,,,
12451,12235,12438,2,22528,12437,,,,,,,,,,,,,,,,,
5015,12236,12439,2,22528,8573,8652,,,,,,,,,,,,,,,,
12458,12237,12440,2,22528,12439,,,,,,,,,,,,,,,,,
12462,12238,12441,2,22528,12438,12440,,,,,,,,,,,,,,,,
12463,12238,12441,2,22528,12437,12439,,,,,,,,,,,,,,,,
12464,12238,12441,2,22528,12436,,,,,,,,,,,,,,,,,
5027,12465,12668,2,22528,8777,8856,,,,,,,,,,,,,,,,
5028,12465,12668,2,22528,8777,8856,,,,,,,,,,,,,,,,
12679,12466,12669,2,22528,12668,,,,,,,,,,,,,,,,,
12683,12467,12670,2,22528,12669,,,,,,,,,,,,,,,,,
5026,12468,12671,2,22528,8777,8856,,,,,,,,,,,,,,,,
12690,12469,12672,2,22528,12671,,,,,,,,,,,,,,,,,
12694,12470,12673,2,22528,12668,,,,,,,,,,,,,,,,,
12695,12470,12673,2,22528,12670,12672,,,,,,,,,,,,,,,,
12696,12470,12673,2,22528,12669,12671,,,,,,,,,,,,,,,,
