link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
9996,9802,9973,2,131072,9972,,,,,,,,,,,,,,,,,,,
9997,9802,9973,2,131072,9972,,,,,,,,,,,,,,,,,,,
4665,9998,10165,2,16384,4571,,,,,,,,,,,,,,,,,,,
10185,9999,10166,2,131072,10165,,,,,,,,,,,,,,,,,,,
10186,9999,10166,2,131072,10165,,,,,,,,,,,,,,,,,,,
4668,10187,10358,2,16384,4572,,,,,,,,,,,,,,,,,,,
10380,10188,10359,2,131072,10358,,,,,,,,,,,,,,,,,,,
10381,10188,10359,2,131072,10358,,,,,,,,,,,,,,,,,,,
10382,10188,10359,2,131072,10358,,,,,,,,,,,,,,,,,,,
10383,10188,10359,2,131072,10358,,,,,,,,,,,,,,,,,,,
4671,10384,10555,2,16384,4573,,,,,,,,,,,,,,,,,,,
10577,10385,10556,2,131072,10555,,,,,,,,,,,,,,,,,,,
10578,10385,10556,2,131072,10555,,,,,,,,,,,,,,,,,,,
10579,10385,10556,2,131072,10555,,,,,,,,,,,,,,,,,,,
10580,10385,10556,2,131072,10555,,,,,,,,,,,,,,,,,,,
4674,10581,10748,2,16384,4574,,,,,,,,,,,,,,,,,,,
10768,10582,10749,2,131072,10748,,,,,,,,,,,,,,,,,,,
10769,10582,10749,2,131072,10748,,,,,,,,,,,,,,,,,,,
4677,10770,10937,2,16384,4575,,,,,,,,,,,,,,,,,,,
10957,10771,10938,2,131072,10937,,,,,,,,,,,,,,,,,,,
10958,10771,10938,2,131072,10937,,,,,,,,,,,,,,,,,,,
4680,10959,11130,2,16384,4576,,,,,,,,,,,,,,,,,,,
11152,10960,11131,2,131072,11130,,,,,,,,,,,,,,,,,,,
11153,10960,11131,2,131072,11130,,,,,,,,,,,,,,,,,,,
11154,10960,11131,2,131072,11130,,,,,,,,,,,,,,,,,,,
