link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22]
7981,7524,7522,2,43776,8254,,,,,,,,,,,,,,,,,,,,,,
7982,7575,7522,2,8192,3571,3570,3569,,,,,,,,,,,,,,,,,,,,
7839,7683,7681,2,10944,8369,8484,,,,,,,,,,,,,,,,,,,,,
7838,7683,7681,2,43776,8254,,,,,,,,,,,,,,,,,,,,,,
7837,7734,7681,2,32768,3568,,,,,,,,,,,,,,,,,,,,,,
7836,7734,7681,2,8192,3571,3570,3569,,,,,,,,,,,,,,,,,,,,
3721,7983,8130,1,700416,641,,,,,,,,,,,,,,,,,,,,,,
8143,7984,8131,1,700416,8130,,,,,,,,,,,,,,,,,,,,,,
8144,7984,8131,1,700416,8130,,,,,,,,,,,,,,,,,,,,,,
8145,7984,8131,1,700416,8130,,,,,,,,,,,,,,,,,,,,,,
8147,7985,8132,1,700416,8130,,,,,,,,,,,,,,,,,,,,,,
8148,7985,8132,1,700416,8131,,,,,,,,,,,,,,,,,,,,,,
3722,7986,8133,1,700416,641,,,,,,,,,,,,,,,,,,,,,,
3720,7986,8133,1,700416,641,,,,,,,,,,,,,,,,,,,,,,
8150,7986,8133,1,700416,8132,,,,,,,,,,,,,,,,,,,,,,
3726,8151,8254,2,43776,920,,,,,,,,,,,,,,,,,,,,,,
3727,8152,8255,2,43776,920,,,,,,,,,,,,,,,,,,,,,,
3725,8152,8255,2,43776,920,,,,,,,,,,,,,,,,,,,,,,
8265,8152,8255,2,43776,8254,,,,,,,,,,,,,,,,,,,,,,
3731,8266,8369,2,43776,933,,,,,,,,,,,,,,,,,,,,,,
3732,8267,8370,2,43776,933,,,,,,,,,,,,,,,,,,,,,,
3730,8267,8370,2,43776,933,,,,,,,,,,,,,,,,,,,,,,
8380,8267,8370,2,43776,8369,,,,,,,,,,,,,,,,,,,,,,
3735,8381,8484,2,43776,946,,,,,,,,,,,,,,,,,,,,,,
3736,8382,8485,2,43776,946,,,,,,,,,,,,,,,,,,,,,,
3737,8382,8485,2,43776,946,,,,,,,,,,,,,,,,,,,,,,
8495,8382,8485,2,43776,8484,,,,,,,,,,,,,,,,,,,,,,
3862,8496,8600,1,8192,836,,,,,,,,,,,,,,,,,,,,,,
3863,8496,8600,1,8192,836,,,,,,,,,,,,,,,,,,,,,,
3861,8496,8600,1,8192,836,,,,,,,,,,,,,,,,,,,,,,
8619,8497,8601,1,8192,8600,,,,,,,,,,,,,,,,,,,,,,
8620,8497,8601,1,8192,8600,,,,,,,,,,,,,,,,,,,,,,
8621,8497,8601,1,8192,8600,,,,,,,,,,,,,,,,,,,,,,
8622,8497,8601,1,8192,8600,,,,,,,,,,,,,,,,,,,,,,
8623,8497,8601,1,8192,8600,,,,,,,,,,,,,,,,,,,,,,
