link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12]
9169,9051,9049,2,262144,10264,,,,,,,,,,,,
9168,9051,9049,2,8192,10722,10931,,,,,,,,,,,
9167,9051,9049,2,1048576,10055,,,,,,,,,,,,
9314,9206,9204,2,8192,4958,,,,,,,,,,,,
9313,9206,9204,2,2097152,4957,,,,,,,,,,,,
9442,9206,9204,2,8192,4958,,,,,,,,,,,,
9443,9206,9204,2,2097152,4957,,,,,,,,,,,,
9425,9317,9315,2,8192,4958,,,,,,,,,,,,
9424,9317,9315,2,2097152,4957,,,,,,,,,,,,
5066,9444,9504,2,256,847,,,,,,,,,,,,
5065,9444,9504,2,256,8602,8748,,,,,,,,,,,
5067,9444,9504,2,256,847,,,,,,,,,,,,
5064,9445,9505,2,256,8602,8748,,,,,,,,,,,
9510,9445,9505,2,256,9504,,,,,,,,,,,,
9511,9445,9505,2,256,9504,,,,,,,,,,,,
9512,9445,9505,2,256,9504,,,,,,,,,,,,
5082,9513,9609,2,65536,8928,9049,9204,9315,,,,,,,,,
5081,9513,9609,2,65536,8928,9049,,,,,,,,,,,
5080,9514,9610,2,65536,9204,9315,,,,,,,,,,,
9615,9514,9610,2,65536,9609,,,,,,,,,,,,
9616,9514,9610,2,65536,9609,,,,,,,,,,,,
9617,9514,9610,2,65536,9609,,,,,,,,,,,,
5087,9618,9836,2,2097152,1081,1094,,,,,,,,,,,
9848,9619,9837,2,2097152,9836,,,,,,,,,,,,
9849,9619,9837,2,2097152,9836,,,,,,,,,,,,
9851,9620,9838,2,2097152,9837,,,,,,,,,,,,
9854,9621,9839,2,2097152,9836,,,,,,,,,,,,
9855,9621,9839,2,2097152,9838,,,,,,,,,,,,
9856,9621,9839,2,2097152,9837,,,,,,,,,,,,
5086,9622,9840,2,2097152,1081,1094,,,,,,,,,,,
5088,9622,9840,2,2097152,1081,1094,,,,,,,,,,,
5091,9858,10053,2,262144,10393,10394,,,,,,,,,,,
10060,9859,10054,2,1048576,10053,,,,,,,,,,,,
10064,9860,10055,2,1048576,10054,,,,,,,,,,,,
10068,9861,10056,2,1048576,10054,,,,,,,,,,,,
5094,10069,10262,2,262144,10517,10518,,,,,,,,,,,
10271,10070,10263,2,1048576,10262,,,,,,,,,,,,
10275,10071,10264,2,1048576,10263,,,,,,,,,,,,
10276,10071,10264,2,1048576,10262,,,,,,,,,,,,
5098,10277,10393,1,262144,11906,,,,,,,,,,,,
5100,10277,10393,1,262144,11905,,,,,,,,,,,,
5097,10277,10393,1,262144,12036,,,,,,,,,,,,
5101,10277,10393,1,262144,11906,,,,,,,,,,,,
5099,10278,10394,1,262144,12036,,,,,,,,,,,,
5096,10278,10394,1,262144,12035,,,,,,,,,,,,
10399,10278,10394,1,262144,10393,,,,,,,,,,,,
10400,10278,10394,1,262144,10393,,,,,,,,,,,,
5108,10401,10517,1,262144,12036,,,,,,,,,,,,
5104,10401,10517,1,262144,11906,,,,,,,,,,,,
5107,10401,10517,1,262144,11906,,,,,,,,,,,,
