link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17]
4937,1209,4750,2,22528,10528,,,,,,,,,,,,,,,,,
4938,1209,4750,2,22528,10528,,,,,,,,,,,,,,,,,
4952,1240,4752,2,22528,10629,,,,,,,,,,,,,,,,,
4953,1240,4752,2,22528,10629,,,,,,,,,,,,,,,,,
4955,1243,4753,2,22528,10629,,,,,,,,,,,,,,,,,
4956,1243,4753,2,22528,10629,,,,,,,,,,,,,,,,,
4958,1246,4754,2,22528,10628,,,,,,,,,,,,,,,,,
4959,1246,4754,2,22528,10629,,,,,,,,,,,,,,,,,
4961,1249,4755,2,22528,10629,,,,,,,,,,,,,,,,,
4962,1249,4755,2,22528,10628,,,,,,,,,,,,,,,,,
4964,1252,4756,2,22528,10629,,,,,,,,,,,,,,,,,
4965,1252,4756,2,22528,10628,,,,,,,,,,,,,,,,,
4979,1283,4758,2,22528,10729,,,,,,,,,,,,,,,,,
4980,1283,4758,2,22528,10729,,,,,,,,,,,,,,,,,
4982,1286,4759,2,22528,10729,,,,,,,,,,,,,,,,,
4983,1286,4759,2,22528,10729,,,,,,,,,,,,,,,,,
4985,1289,4760,2,22528,10729,,,,,,,,,,,,,,,,,
4986,1289,4760,2,22528,10729,,,,,,,,,,,,,,,,,
4988,1292,4761,2,22528,10729,,,,,,,,,,,,,,,,,
4989,1292,4761,2,22528,10729,,,,,,,,,,,,,,,,,
4991,1295,4762,2,22528,10728,,,,,,,,,,,,,,,,,
4992,1295,4762,2,22528,10728,,,,,,,,,,,,,,,,,
5002,1400,4763,2,22528,8369,8448,,,,,,,,,,,,,,,,
5003,1400,4763,2,22528,8369,8448,,,,,,,,,,,,,,,,
5004,1400,4763,2,22528,8369,8448,,,,,,,,,,,,,,,,
5014,1439,4764,2,22528,8573,8652,,,,,,,,,,,,,,,,
5015,1439,4764,2,22528,8573,8652,,,,,,,,,,,,,,,,
5016,1439,4764,2,22528,8573,8652,,,,,,,,,,,,,,,,
5026,1478,4765,2,22528,8777,8856,,,,,,,,,,,,,,,,
5027,1478,4765,2,22528,8777,8856,,,,,,,,,,,,,,,,
5028,1478,4765,2,22528,8777,8856,,,,,,,,,,,,,,,,
8447,8371,8369,2,22528,8527,,,,,,,,,,,,,,,,,
8572,8371,8369,2,22528,8527,,,,,,,,,,,,,,,,,
8526,8450,8448,2,22528,8527,,,,,,,,,,,,,,,,,
8563,8528,8527,2,22528,4733,,,,,,,,,,,,,,,,,
8651,8575,8573,2,22528,8731,,,,,,,,,,,,,,,,,
8776,8575,8573,2,22528,8731,,,,,,,,,,,,,,,,,
8730,8654,8652,2,22528,8731,,,,,,,,,,,,,,,,,
8767,8732,8731,2,22528,4737,,,,,,,,,,,,,,,,,
8855,8779,8777,2,22528,8935,,,,,,,,,,,,,,,,,
8980,8779,8777,2,22528,8935,,,,,,,,,,,,,,,,,
8934,8858,8856,2,22528,8935,,,,,,,,,,,,,,,,,
8971,8936,8935,2,22528,4741,,,,,,,,,,,,,,,,,
4840,8982,9323,2,22528,4765,,,,,,,,,,,,,,,,,
4843,8982,9323,2,22528,4765,,,,,,,,,,,,,,,,,
9345,8982,9323,2,22528,10781,,,,,,,,,,,,,,,,,
9346,8982,9323,2,22528,10781,,,,,,,,,,,,,,,,,
9351,8983,9324,2,22528,9323,,,,,,,,,,,,,,,,,
9352,8983,9324,2,22528,9323,,,,,,,,,,,,,,,,,
9356,8984,9325,2,22528,9324,,,,,,,,,,,,,,,,,
9357,8984,9325,2,22528,9323,,,,,,,,,,,,,,,,,
