link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27]
12074,11927,12061,2,10240,12060,,,,,,,,,,,,,,,,,,,,,,,,,,,
8394,12075,12210,2,5,12987,,,,,,,,,,,,,,,,,,,,,,,,,,,
12219,12076,12211,2,10240,12210,,,,,,,,,,,,,,,,,,,,,,,,,,,
12223,12077,12212,2,10240,12210,,,,,,,,,,,,,,,,,,,,,,,,,,,
12224,12077,12212,2,10240,12210,,,,,,,,,,,,,,,,,,,,,,,,,,,
12225,12077,12212,2,10240,12210,,,,,,,,,,,,,,,,,,,,,,,,,,,
12226,12077,12212,2,10240,12210,,,,,,,,,,,,,,,,,,,,,,,,,,,
8399,12227,12364,2,5,12987,,,,,,,,,,,,,,,,,,,,,,,,,,,
12375,12228,12365,2,10240,12364,,,,,,,,,,,,,,,,,,,,,,,,,,,
12379,12229,12366,2,10240,12365,,,,,,,,,,,,,,,,,,,,,,,,,,,
12380,12229,12366,2,10240,12364,,,,,,,,,,,,,,,,,,,,,,,,,,,
12381,12229,12366,2,10240,12364,,,,,,,,,,,,,,,,,,,,,,,,,,,
12382,12229,12366,2,10240,12365,,,,,,,,,,,,,,,,,,,,,,,,,,,
8404,12383,12519,2,5,12988,,,,,,,,,,,,,,,,,,,,,,,,,,,
12529,12384,12520,2,10240,12519,,,,,,,,,,,,,,,,,,,,,,,,,,,
12533,12385,12521,2,10240,12519,,,,,,,,,,,,,,,,,,,,,,,,,,,
12534,12385,12521,2,10240,12520,,,,,,,,,,,,,,,,,,,,,,,,,,,
12535,12385,12521,2,10240,12520,,,,,,,,,,,,,,,,,,,,,,,,,,,
12536,12385,12521,2,10240,12519,,,,,,,,,,,,,,,,,,,,,,,,,,,
8409,12537,12670,2,5,12988,,,,,,,,,,,,,,,,,,,,,,,,,,,
12680,12538,12671,2,10240,12670,,,,,,,,,,,,,,,,,,,,,,,,,,,
12683,12539,12672,2,10240,12671,,,,,,,,,,,,,,,,,,,,,,,,,,,
12684,12539,12672,2,10240,12671,,,,,,,,,,,,,,,,,,,,,,,,,,,
8414,12685,12823,2,5,12988,,,,,,,,,,,,,,,,,,,,,,,,,,,
12834,12686,12824,2,10240,12823,,,,,,,,,,,,,,,,,,,,,,,,,,,
12835,12686,12824,2,10240,12823,,,,,,,,,,,,,,,,,,,,,,,,,,,
12839,12687,12825,2,10240,12824,,,,,,,,,,,,,,,,,,,,,,,,,,,
