link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15]
4267,1053,4078,2,16384,1215,,,,,,,,,,,,,,,
4270,1054,4079,2,16384,1267,,,,,,,,,,,,,,,
4272,1055,4080,1,8,4079,,,,,,,,,,,,,,,
4273,1055,4080,1,8,4079,,,,,,,,,,,,,,,
4275,1056,4081,2,16384,1267,,,,,,,,,,,,,,,
4276,1056,4081,2,16384,1267,,,,,,,,,,,,,,,
4279,1058,4082,2,16384,1124,,,,,,,,,,,,,,,
4281,1059,4083,1,8,4082,,,,,,,,,,,,,,,
4282,1059,4083,1,8,4082,,,,,,,,,,,,,,,
4284,1060,4084,2,16384,1124,,,,,,,,,,,,,,,
4285,1060,4084,2,16384,1124,,,,,,,,,,,,,,,
4288,1061,4085,2,16384,1176,,,,,,,,,,,,,,,
4290,1062,4086,1,8,4085,,,,,,,,,,,,,,,
4291,1062,4086,1,8,4085,,,,,,,,,,,,,,,
4293,1063,4087,2,16384,1176,,,,,,,,,,,,,,,
4294,1063,4087,2,16384,1176,,,,,,,,,,,,,,,
4297,1064,4088,2,16384,1228,,,,,,,,,,,,,,,
4299,1065,4089,1,8,4088,,,,,,,,,,,,,,,
4300,1065,4089,1,8,4088,,,,,,,,,,,,,,,
4302,1066,4090,2,16384,1228,,,,,,,,,,,,,,,
4303,1066,4090,2,16384,1228,,,,,,,,,,,,,,,
4306,1067,4091,2,16384,1280,,,,,,,,,,,,,,,
4308,1068,4092,1,8,4091,,,,,,,,,,,,,,,
4309,1068,4092,1,8,4091,,,,,,,,,,,,,,,
4311,1069,4093,2,16384,1280,,,,,,,,,,,,,,,
4312,1069,4093,2,16384,1280,,,,,,,,,,,,,,,
4317,7678,7799,2,8,8291,,,,,,,,,,,,,,,
7811,7679,7800,2,16384,7799,,,,,,,,,,,,,,,
7812,7679,7800,2,16384,7799,,,,,,,,,,,,,,,
7816,7680,7801,2,16384,7799,,,,,,,,,,,,,,,
7817,7680,7801,2,16384,7799,,,,,,,,,,,,,,,
7818,7680,7801,2,16384,7799,,,,,,,,,,,,,,,
7819,7680,7801,2,16384,7800,,,,,,,,,,,,,,,
4322,7820,7936,2,8,8291,,,,,,,,,,,,,,,
7946,7821,7937,2,16384,7936,,,,,,,,,,,,,,,
7947,7821,7937,2,16384,7936,,,,,,,,,,,,,,,
7950,7822,7938,2,16384,7936,,,,,,,,,,,,,,,
7951,7822,7938,2,16384,7937,,,,,,,,,,,,,,,
4327,7952,8071,2,8,8291,,,,,,,,,,,,,,,
8082,7953,8072,2,16384,8071,,,,,,,,,,,,,,,
8086,7954,8073,2,16384,8072,,,,,,,,,,,,,,,
8087,7954,8073,2,16384,8071,,,,,,,,,,,,,,,
8088,7954,8073,2,16384,8072,,,,,,,,,,,,,,,
8089,7954,8073,2,16384,8071,,,,,,,,,,,,,,,
4332,8090,8211,2,8,8291,,,,,,,,,,,,,,,
8223,8091,8212,2,16384,8211,,,,,,,,,,,,,,,
8224,8091,8212,2,16384,8211,,,,,,,,,,,,,,,
8228,8092,8213,2,16384,8212,,,,,,,,,,,,,,,
8229,8092,8213,2,16384,8211,,,,,,,,,,,,,,,
8230,8092,8213,2,16384,8212,,,,,,,,,,,,,,,
8231,8092,8213,2,16384,8212,,,,,,,,,,,,,,,
4337,8232,8290,1,1,3,,,,,,,,,,,,,,,
8299,8233,8291,1,8,8290,,,,,,,,,,,,,,,
8300,8233,8291,1,8,8290,,,,,,,,,,,,,,,
8301,8233,8291,1,8,8290,,,,,,,,,,,,,,,
