link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29]
5858,1124,5543,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5859,1124,5543,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,1127,5544,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5862,1127,5544,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5864,1130,5545,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5865,1130,5545,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5867,1133,5546,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5868,1133,5546,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5870,1136,5547,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,1136,5547,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5873,1139,5548,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5874,1139,5548,1,5504,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9330,9217,9215,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9329,9217,9215,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10379,9217,9215,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10380,9217,9215,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446,9333,9331,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9445,9333,9331,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10381,9333,9331,2,5504,12267,12421,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10382,9333,9331,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9562,9449,9447,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561,9449,9447,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10383,9449,9447,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10384,9449,9447,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9678,9565,9563,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9677,9565,9563,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10385,9565,9563,2,5504,12266,12421,12580,12735,12886,,,,,,,,,,,,,,,,,,,,,,,,,
10386,9565,9563,2,44032,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9794,9681,9679,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9793,9681,9679,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10387,9681,9679,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388,9681,9679,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
9910,9797,9795,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9909,9797,9795,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10389,9797,9795,2,5504,12267,12422,12580,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10390,9797,9795,2,44032,12111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,9913,9911,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,9913,9911,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10391,9913,9911,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10392,9913,9911,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10142,10029,10027,2,44032,12112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141,10029,10027,2,5504,12267,12422,12581,12736,12887,,,,,,,,,,,,,,,,,,,,,,,,,
10508,10395,10393,2,44032,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507,10395,10393,2,5504,13185,13333,13481,13628,13777,,,,,,,,,,,,,,,,,,,,,,,,,
11557,10395,10393,2,44032,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11558,10395,10393,2,5504,13185,13333,13481,13628,13777,,,,,,,,,,,,,,,,,,,,,,,,,
10624,10511,10509,2,44032,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10623,10511,10509,2,5504,13185,13333,13481,13628,13777,,,,,,,,,,,,,,,,,,,,,,,,,
11559,10511,10509,2,5504,13185,13333,13481,13628,13777,,,,,,,,,,,,,,,,,,,,,,,,,
11560,10511,10509,2,44032,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10740,10627,10625,2,44032,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739,10627,10625,2,5504,13185,13333,13481,13628,13777,,,,,,,,,,,,,,,,,,,,,,,,,
11561,10627,10625,2,44032,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11562,10627,10625,2,5504,13185,13333,13481,13628,13777,,,,,,,,,,,,,,,,,,,,,,,,,
10856,10743,10741,2,44032,13037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10855,10743,10741,2,5504,13185,13333,13481,13628,13777,,,,,,,,,,,,,,,,,,,,,,,,,
11563,10743,10741,2,5504,13184,13332,13480,13628,13776,,,,,,,,,,,,,,,,,,,,,,,,,
11564,10743,10741,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10972,10859,10857,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10971,10859,10857,2,5504,13184,13332,13480,13629,13776,,,,,,,,,,,,,,,,,,,,,,,,,
11565,10859,10857,2,5504,13184,13332,13480,13629,13776,,,,,,,,,,,,,,,,,,,,,,,,,
11566,10859,10857,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11088,10975,10973,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11087,10975,10973,2,5504,13184,13332,13480,13629,13776,,,,,,,,,,,,,,,,,,,,,,,,,
11567,10975,10973,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11568,10975,10973,2,5504,13184,13332,13480,13629,13776,,,,,,,,,,,,,,,,,,,,,,,,,
11204,11091,11089,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11203,11091,11089,2,5504,13184,13332,13480,13629,13776,,,,,,,,,,,,,,,,,,,,,,,,,
11569,11091,11089,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11570,11091,11089,2,5504,13184,13332,13480,13629,13776,,,,,,,,,,,,,,,,,,,,,,,,,
11320,11207,11205,2,44032,13036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11319,11207,11205,2,5504,13184,13332,13480,13629,13776,,,,,,,,,,,,,,,,,,,,,,,,,
5664,11571,11927,2,44032,1205,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11944,11572,11928,2,44032,11927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11949,11573,11929,2,44032,11928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
