sim_scalar,packet_rate,XBAR_FULL,LINKS_SW,DIRS_SW,WIDTH,BACKPRESSURE,DIRS_CU,LINKS_CU,synthesis area (um^2),synthesis slack (ns),flit energy (J),dynamic power (W),static power (W)
0,100,1,1,4,32,0,1,4,1402.010998,0.49,1.8335250000000003e-13,0.00146682,6.848e-06
1,100,1,1,4,32,0,1,4,1402.010998,0.49,1.8335250000000003e-13,0.00146682,6.848e-06
0,100,1,1,4,32,1,1,4,2018.834985,0.41,3.62925e-13,0.0029034,1.062e-05
1,100,1,1,4,32,1,1,4,2018.834985,0.41,3.62925e-13,0.0029034,1.062e-05
0,100,0,2,4,32,0,1,4,2488.239007,0.48,1.8599333333333334e-13,0.00223192,1.122e-05
1,100,0,2,4,32,0,1,4,2488.239007,0.48,1.8599333333333334e-13,0.00223192,1.122e-05
0,100,0,2,4,32,1,1,4,3438.044987,0.43,3.5915e-13,0.0043098,1.725e-05
1,100,0,2,4,32,1,1,4,3438.044987,0.43,3.5915e-13,0.0043098,1.725e-05
0,100,1,2,4,32,0,1,4,3010.410006,0.42,1.93225e-13,0.0023187,1.336e-05
1,100,1,2,4,32,0,1,4,3010.410006,0.42,1.93225e-13,0.0023187,1.336e-05
0,100,1,2,4,32,1,1,4,3982.562993,0.39,3.6900000000000004e-13,0.0044280000000000005,1.959e-05
1,100,1,2,4,32,1,1,4,3982.562993,0.39,3.6900000000000004e-13,0.0044280000000000005,1.959e-05
0,100,0,3,4,32,0,1,4,3637.647009,0.39,1.915875e-13,0.0030654000000000002,1.667e-05
1,100,0,3,4,32,0,1,4,3637.647009,0.39,1.915875e-13,0.0030654000000000002,1.667e-05
0,100,0,3,4,32,1,1,4,4913.999983,0.36,3.7063124999999997e-13,0.0059301,2.477e-05
1,100,0,3,4,32,1,1,4,4913.999983,0.36,3.7063124999999997e-13,0.0059301,2.477e-05
0,100,1,3,4,32,0,1,4,5115.240027,0.37,2.0800000000000002e-13,0.0033280000000000002,2.226e-05
1,100,1,3,4,32,0,1,4,5115.240027,0.37,2.0800000000000002e-13,0.0033280000000000002,2.226e-05
0,100,1,3,4,32,1,1,4,6434.649006,0.36,3.8593125e-13,0.0061749000000000005,3.061e-05
1,100,1,3,4,32,1,1,4,6434.649006,0.36,3.8593125e-13,0.0061749000000000005,3.061e-05
0,100,0,4,4,32,0,1,4,4765.878015,0.37,1.9128000000000002e-13,0.0038256,2.104e-05
1,100,0,4,4,32,0,1,4,4765.878015,0.37,1.9128000000000002e-13,0.0038256,2.104e-05
0,100,0,4,4,32,1,1,4,6368.543982,0.42,3.73635e-13,0.0074727000000000005,3.144e-05
1,100,0,4,4,32,1,1,4,6368.543982,0.42,3.73635e-13,0.0074727000000000005,3.144e-05
0,100,1,4,4,32,0,1,4,7490.457042,0.36,2.0623e-13,0.0041246,3.087e-05
1,100,1,4,4,32,0,1,4,7490.457042,0.36,2.0623e-13,0.0041246,3.087e-05
0,100,1,4,4,32,1,1,4,9221.706017,0.44,3.8818e-13,0.0077636,4.217e-05
1,100,1,4,4,32,1,1,4,9221.706017,0.44,3.8818e-13,0.0077636,4.217e-05
